A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,Move
0,4,16,4,16,64,16,256,4,32,512,4,0,0,0,8,Up
16,4,32,4,4,64,512,256,0,32,0,4,0,4,0,8,Left
16,4,32,4,4,64,512,256,32,4,0,0,4,8,0,4,Right
16,4,32,4,4,64,512,256,0,4,32,4,0,4,8,4,Left
16,4,32,4,4,64,512,256,4,32,4,0,4,8,4,4,Up
16,4,32,4,8,64,512,256,4,32,8,4,0,8,0,4,Left
16,4,32,4,8,64,512,256,4,32,8,4,8,4,4,0,Left
16,4,32,4,8,64,512,256,4,32,8,4,8,8,4,0,Down
16,4,32,4,8,64,512,4,4,32,8,256,8,8,4,4,Down
16,4,32,4,8,64,512,8,4,32,8,256,8,8,4,4,Right
16,4,32,4,8,64,512,8,4,32,8,256,4,0,16,8,Left
16,4,32,4,8,64,512,8,4,32,8,256,4,16,8,4,Down
4,4,0,4,16,64,32,8,8,32,512,256,8,16,16,4,Up
4,4,32,4,16,64,512,8,16,32,16,256,4,16,0,4,Down
0,4,4,4,4,64,32,8,32,32,512,256,4,16,16,4,Right
0,0,4,8,4,64,32,8,0,64,512,256,4,4,32,4,Up
8,128,4,16,0,4,32,256,4,0,512,4,0,0,32,0,Up
8,128,4,16,4,4,32,256,0,0,512,4,0,4,32,0,Left
8,128,4,16,8,32,256,0,512,4,0,0,4,32,0,4,Down
0,128,0,0,16,32,4,0,512,4,4,16,4,32,256,4,Right
0,0,0,128,0,16,32,4,4,512,8,16,4,32,256,4,Down
0,0,0,128,0,16,32,4,4,512,8,16,8,32,256,4,Left
128,0,0,4,16,32,4,0,4,512,8,16,8,32,256,4,Down
128,0,4,0,16,32,4,4,4,512,8,16,8,32,256,4,Left
128,4,0,4,16,32,8,0,4,512,8,16,8,32,256,4,Right
0,0,128,8,4,16,32,8,4,512,8,16,8,32,256,4,Left
128,8,0,4,4,16,32,8,4,512,8,16,8,32,256,4,Left
128,8,4,4,4,16,32,8,4,512,8,16,8,32,256,4,Left
128,8,8,4,4,16,32,8,4,512,8,16,8,32,256,4,Left
128,16,4,4,4,16,32,8,4,512,8,16,8,32,256,4,Up
128,32,4,4,8,512,32,8,8,32,8,16,0,4,256,4,Left
128,32,8,4,8,512,32,8,8,32,8,16,4,256,4,0,Up
128,32,8,4,16,512,32,8,4,32,8,16,4,256,4,0,Down
0,32,8,4,128,512,32,4,16,32,8,8,8,256,4,16,Up
128,32,8,8,16,512,32,8,8,32,8,16,0,256,4,4,Left
128,32,16,0,16,512,32,8,8,32,8,16,256,8,4,0,Down
128,32,16,4,16,512,32,0,8,32,8,8,256,8,4,16,Right
128,32,16,4,0,16,512,32,4,8,32,16,256,8,4,16,Up
128,32,16,4,4,16,512,32,256,16,32,32,0,4,4,0,Down
0,4,16,0,128,32,512,0,4,32,32,4,256,4,4,64,Left
4,16,0,0,128,32,512,4,4,64,4,0,256,8,64,0,Down
4,16,0,4,128,32,512,0,4,64,4,0,256,8,64,4,Up
4,16,512,8,128,32,4,4,4,64,64,0,256,8,0,0,Left
4,16,512,8,128,32,8,4,4,128,0,0,256,8,0,0,Down
