A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,Move
8,16,4,16,4,1024,0,0,8,4,4,0,16,0,0,0,Down
8,0,0,0,4,16,0,0,8,1024,0,4,16,4,8,16,Left
8,0,0,0,4,16,0,0,8,1024,4,4,16,4,8,16,Right
0,0,0,8,4,0,4,16,0,8,1024,8,16,4,8,16,Up
4,8,4,8,16,4,1024,16,4,0,8,8,0,0,0,16,Down
0,0,0,8,4,4,4,16,16,8,1024,8,4,4,8,16,Up
4,4,4,8,16,8,1024,16,4,4,8,8,0,4,0,16,Up
4,4,4,8,16,8,1024,16,4,8,8,8,0,0,4,16,Right
0,4,8,8,16,8,1024,16,4,4,8,16,0,0,4,16,Right
0,4,4,16,16,8,1024,16,0,8,8,16,0,0,4,16,Left
8,16,0,4,16,8,1024,16,16,16,0,0,4,16,0,0,Up
8,16,1024,4,32,8,0,16,4,32,0,0,0,4,0,0,Left
8,16,1024,4,32,8,16,0,4,32,0,0,4,0,4,0,Left
8,16,1024,4,32,8,16,0,4,32,0,0,8,4,0,0,Right
8,16,1024,4,0,32,8,16,0,4,4,32,0,0,8,4,Left
8,16,1024,4,32,8,16,0,8,32,0,0,8,4,4,0,Up
8,16,1024,4,32,8,16,0,16,32,4,0,4,4,0,0,Right
8,16,1024,4,4,32,8,16,0,16,32,4,0,0,0,8,Down
0,0,0,4,4,16,1024,16,8,32,8,4,4,16,32,8,Up
4,16,1024,4,8,32,8,16,4,16,32,4,0,0,4,8,Left
4,16,1024,4,8,32,8,16,4,16,32,4,4,8,0,4,Left
4,16,1024,4,8,32,8,16,4,16,32,4,4,8,4,4,Down
4,16,1024,0,4,32,8,4,8,16,32,16,8,8,4,8,Down
0,16,1024,4,0,32,8,4,8,16,32,16,16,8,4,8,Left
16,1024,4,4,32,8,4,0,8,16,32,16,16,8,4,8,Right
0,16,1024,8,4,32,8,4,8,16,32,16,16,8,4,8,Left
16,1024,8,4,4,32,8,4,8,16,32,16,16,8,4,8,Down
16,1024,4,0,4,32,16,8,8,16,32,16,16,8,4,8,Up
16,1024,4,8,4,32,16,16,8,16,32,8,16,8,4,4,Right
16,1024,4,8,0,4,32,32,8,16,32,8,4,16,8,8,Right
16,1024,4,8,0,4,4,64,8,16,32,8,0,4,16,16,Up
16,1024,8,8,8,4,32,64,0,16,16,8,4,4,0,16,Up
16,1024,8,8,8,4,32,64,4,16,16,8,0,4,4,16,Left
16,1024,16,0,8,4,32,64,4,32,8,0,8,16,4,0,Up
16,1024,16,64,8,4,32,0,4,32,8,4,8,16,4,0,Down
16,1024,16,4,8,4,32,0,4,32,8,64,8,16,4,4,Left
16,1024,16,4,8,4,32,4,4,32,8,64,8,16,8,0,Down
16,1024,4,0,8,4,16,0,4,32,32,8,8,16,16,64,Up
16,1024,4,8,8,4,16,64,4,32,32,4,8,16,16,0,Down
16,1024,4,4,8,4,16,8,4,32,32,64,8,16,16,4,Right
0,16,1024,8,8,4,16,8,0,4,64,64,4,8,32,4,Up
8,16,1024,16,4,8,16,64,0,8,64,4,4,0,32,0,Up
8,16,1024,16,8,16,16,64,0,0,64,4,0,0,32,4,Left
8,16,1024,16,8,32,64,0,64,4,0,4,32,4,0,0,Up
16,16,1024,16,64,32,64,4,32,8,0,0,0,0,0,4,Up
16,16,1024,16,64,32,64,8,32,8,4,0,0,0,0,0,Left
32,1024,16,0,64,32,64,8,32,8,4,0,0,0,4,0,Right
4,32,1024,16,64,32,64,8,0,32,8,4,0,0,0,4,Down
0,0,0,0,0,4,1024,16,4,32,64,8,64,64,8,8,Down
0,0,0,0,4,4,1024,0,4,32,64,16,64,64,8,16,Right
0,0,0,0,4,0,8,1024,4,32,64,16,0,128,8,16,Right
0,4,0,0,0,4,8,1024,4,32,64,16,0,128,8,16,Up
4,8,8,1024,0,32,64,32,0,128,8,0,4,0,0,0,Down
0,0,0,0,4,8,8,0,0,32,64,1024,8,128,8,32,Down
4,0,0,0,0,8,8,0,4,32,64,1024,8,128,8,32,Down
0,4,0,0,0,8,8,0,8,32,64,1024,8,128,8,32,Left
4,0,0,0,16,0,4,0,8,32,64,1024,8,128,8,32,Left
4,0,4,0,16,4,0,0,8,32,64,1024,8,128,8,32,Down
0,0,0,4,4,4,4,0,16,32,64,1024,16,128,8,32,Up
4,4,4,4,32,32,64,1024,4,128,8,32,0,0,0,0,Left
8,8,4,0,64,64,1024,0,4,128,8,32,0,0,0,0,Down
0,0,0,4,8,8,4,0,64,64,1024,0,4,128,8,32,Up
8,8,4,4,64,64,1024,32,4,128,8,0,0,4,0,0,Left
16,8,0,0,128,1024,32,4,4,128,8,0,4,0,0,0,Down
0,0,0,4,16,8,0,0,128,1024,32,0,8,128,8,4,Up
16,8,32,8,128,1024,8,0,8,128,0,0,4,0,0,0,Down
16,0,4,0,128,8,0,0,8,1024,32,0,4,128,8,8,Down
16,0,4,0,128,8,4,0,8,1024,32,0,4,128,8,8,Up
16,8,8,8,128,1024,32,0,8,128,8,0,4,0,4,0,Left
16,16,8,0,128,1024,32,4,8,128,8,0,8,0,0,0,Up
16,16,8,4,128,1024,32,0,16,128,8,4,0,0,0,0,Left
32,8,4,0,128,1024,32,0,16,128,8,4,0,0,0,4,Right
0,32,8,4,0,128,1024,32,16,128,8,4,0,4,0,4,Down
0,0,4,0,0,32,8,4,0,256,1024,32,16,4,8,8,Left
4,0,0,0,32,8,4,0,256,1024,32,4,16,4,16,0,Up
4,8,4,4,32,1024,32,0,256,4,16,0,16,0,4,0,Left
4,8,8,0,32,1024,32,0,256,4,16,0,16,4,0,4,Right
4,0,4,16,0,32,1024,32,0,256,4,16,0,0,16,8,Down
4,0,4,16,0,0,1024,32,0,32,4,16,4,256,16,8,Up
8,32,4,16,4,256,1024,32,0,0,4,16,0,0,16,8,Left
8,32,4,16,4,256,1024,32,4,16,0,4,16,8,0,0,Down
4,32,0,0,8,256,0,16,8,16,4,32,16,8,1024,4,Up
4,32,4,16,16,256,1024,32,16,16,0,4,0,8,4,0,Down
0,32,4,0,0,256,4,16,4,16,1024,32,32,8,4,4,Down
0,32,0,4,0,256,8,16,4,16,1024,32,32,8,4,4,Left
32,4,0,0,256,8,16,0,4,16,1024,32,32,8,8,4,Left
32,4,4,0,256,8,16,0,4,16,1024,32,32,16,4,0,Up
32,4,4,32,256,8,16,0,4,32,1024,0,32,0,4,4,Right
4,32,8,32,0,256,8,16,0,4,32,1024,0,0,32,8,Down
0,0,0,32,0,32,0,16,4,256,16,1024,4,4,64,8,Up
8,32,16,32,0,256,64,16,0,4,0,1024,0,4,0,8,Right
8,32,16,32,0,256,64,16,4,0,4,1024,0,0,4,8,Left
8,32,16,32,256,64,16,0,8,1024,0,4,4,8,0,0,Down
8,32,0,0,256,64,0,4,8,1024,0,32,4,8,32,4,Up
8,32,32,4,256,64,0,32,8,1024,4,4,4,8,0,0,Left
8,64,4,4,256,64,32,0,8,1024,8,0,4,8,0,0,Left
8,64,8,0,256,64,32,0,8,1024,8,0,4,8,0,4,Down
8,0,0,0,256,128,8,0,8,1024,32,4,4,8,8,4,Right
0,0,0,8,4,256,128,8,8,1024,32,4,0,4,16,4,Down
0,0,0,4,0,256,128,0,4,1024,32,16,8,4,16,8,Up
4,256,128,4,8,1024,32,16,0,4,16,8,0,0,0,4,Left
4,256,128,4,8,1024,32,16,4,16,8,0,4,0,0,4,Right
4,256,128,4,8,1024,32,16,0,4,16,8,0,4,0,8,Down
4,0,0,0,0,256,128,4,4,1024,32,16,8,8,16,16,Right
0,0,4,4,0,256,128,4,4,1024,32,16,0,0,16,32,Down
4,0,4,0,0,0,128,8,0,256,32,16,4,1024,16,32,Right
0,0,0,8,0,0,128,8,4,256,32,16,4,1024,16,32,Down
0,4,0,0,0,0,128,16,0,256,32,16,8,1024,16,32,Right
0,0,0,4,4,0,128,16,0,256,32,16,8,1024,16,32,Up
4,256,128,4,8,1024,32,32,0,0,16,32,0,0,0,4,Down
0,0,0,4,0,0,128,4,4,256,32,64,8,1024,16,4,Left
4,0,0,4,128,4,0,0,4,256,32,64,8,1024,16,4,Down
4,4,0,0,128,4,0,4,4,256,32,64,8,1024,16,4,Up
4,8,32,4,128,256,16,64,4,1024,0,4,8,0,0,4,Down
4,0,4,0,128,8,0,4,4,256,32,64,8,1024,16,8,Up
4,8,4,4,128,256,32,64,4,1024,16,8,8,0,0,4,Left
4,8,8,0,128,256,32,64,4,1024,16,8,8,4,4,0,Down
4,8,8,4,128,256,32,0,4,1024,16,64,8,4,4,8,Up
